index,cellid,ADA预测值,ADA预测概率,GBDT预测值,GBDT预测概率,RF预测值,RF预测概率,XGB预测值,XGB预测概率,平均预测概率
103,板21-8$1915.5,1,0.9424086315056412,0,0.3149949075248781,1,0.5214223276723279,0,0.38582668,0.5411631359467041
91,板南3-4$1893.9,1,0.9216312578999704,0,0.36398423613939423,1,0.5142549950049954,0,0.34732515,0.5367989088106582
111,板21-7$2331.6,1,0.9216312578999704,0,0.3149949075248781,1,0.5181669164169166,0,0.38582668,0.5351549397314336
66,板南3-4$1017.4,1,0.9424086315056412,0,0.3149949075248781,1,0.5198740426240428,0,0.34732515,0.5311506819632087
13,板南3-4$1921.1,1,0.9424086315056412,0,0.3192219702085776,0,0.49759252512193713,0,0.34732515,0.5266370682586072
68,板南3-4$2312.8,1,0.7807441295799158,0,0.3759756737864604,1,0.539534250063662,0,0.38582668,0.5205201826285017
49,板南3-13$1960.0,1,0.7807441295799158,0,0.3805664287142295,1,0.5276519656813776,0,0.38582668,0.518697300264873
98,板21-7$2253.0,1,0.7807441295799158,0,0.3805664287142295,1,0.518916700946113,0,0.38582668,0.5165134840810569
81,板南G3-3$1988.0,1,0.7807441295799158,0,0.36398423613939423,1,0.5636585914085915,0,0.34732515,0.5139280258315436
92,板南3-4$2268.6,1,0.7807441295799158,0,0.36398423613939423,1,0.5617588245088246,0,0.34732515,0.5134530841066018
85,板南3-13$1857.6,1,0.7807441295799158,0,0.36398423613939423,1,0.5407226939726943,0,0.34732515,0.5081940514725694
51,板南3-13$2315.9,1,0.7807441295799158,0,0.3685150394660864,1,0.5336374458874462,0,0.34732515,0.5075554402829303
23,板南3-13$1905.2,1,0.7807441295799158,0,0.3805664287142295,1,0.519997918747919,0,0.34732515,0.5071584058100843
45,板21-12$1800.7,1,0.7807441295799158,0,0.3759756737864604,0,0.48023022075963284,0,0.38582668,0.5056941753024945
108,板21-7$2259.1,1,0.7807441295799158,0,0.3759756737864604,1,0.5087303872597992,0,0.34732515,0.503193834206112
27,板南G3-3$1897.1,1,0.7239769119963874,0,0.3759756737864604,1,0.5258043133337253,0,0.38582668,0.5028958940501356
37,板21-12$1985.3,1,0.7807441295799158,0,0.3685150394660864,1,0.5029850982350986,0,0.34732515,0.4998923533698434
109,板南3-13$1854.2,1,0.7239769119963874,0,0.3759756737864604,1,0.5457758418052537,0,0.34732515,0.49826339344659354
11,板南3-4$1920.6,1,0.7807441295799158,0,0.3192219702085776,1,0.5054391441891445,0,0.38582668,0.49780798026540174
86,板南4-5$1955.3,1,0.7807441295799158,0,0.36398423613939423,0,0.4748124375624378,0,0.34732515,0.4917164873700052
8,板南3-4$2047.9,1,0.7807441295799158,0,0.3192219702085776,0,0.4836349483849486,0,0.34732515,0.48273154859292866
113,板21-12$1539.1,1,0.7807441295799158,0,0.3081468014088497,0,0.4903787046287049,0,0.34732515,0.4816486954539358
4,板南3-13$1901.4,1,0.7807441295799158,0,0.3192219702085776,0,0.4714429736929739,0,0.34732515,0.47968355491993503
44,板南G3-3$1373.5,1,0.7239769119963874,0,0.3081468014088497,1,0.5381352813852817,0,0.34732515,0.47939603524719787
71,板21-7$1714.5,1,0.7807441295799158,0,0.3192219702085776,0,0.45798496601437805,0,0.34732515,0.47631905300028604
30,板南4-4$2316.7,0,0.4426443310383915,0,0.3685150394660864,1,0.6060643523143524,0,0.34732515,0.4411372172542758
99,板南4-5$1874.3,0,0.4426443310383915,0,0.3685150394660864,1,0.57200294803236,0,0.34732515,0.4326218661837776
59,板南3-4$1158.1,0,0.4426443310383915,0,0.36398423613939423,1,0.5479598244892366,0,0.34732515,0.4254783844663238
38,板21-12$2148.2,0,0.36336625970519904,0,0.3759756737864604,1,0.5418006160506162,0,0.38582668,0.4167423066565612
28,板南3-4$1078.5,0,0.36336625970519904,0,0.3759756737864604,1,0.552094856124268,0,0.34732515,0.40969048395355
105,板南4-5$2263.4,0,0.36336625970519904,0,0.36398423613939423,1,0.5614401431901435,0,0.34732515,0.4090289463082524
74,板21-12$1690.1,0,0.4426443310383915,0,0.3081468014088497,1,0.5133284215784217,0,0.34732515,0.4028611750559839
57,板南G3-3$1404.6,0,0.36336625970519904,0,0.3805664287142295,1,0.5104058441558444,0,0.34732515,0.4004159196933864
56,板南3-4$1331.0,0,0.36336625970519904,0,0.3192219702085776,1,0.5542621545121547,0,0.34732515,0.396043882656051
54,板21-7$2265.5,0,0.36336625970519904,0,0.3192219702085776,1,0.538013271042683,0,0.34732515,0.3919816617886831
12,板南3-4$2059.8,0,0.36336625970519904,0,0.3192219702085776,0,0.48306818181818195,0,0.38582668,0.3878707722039819
80,板21-8$2295.6,0,0.14735543316194102,0,0.3805664287142295,1,0.575525890775891,0,0.38582668,0.3723186074340077
31,板南4-4$2334.1,0,0.14735543316194102,0,0.3685150394660864,1,0.5927315184815186,0,0.34732515,0.3639817843269547
72,板21-8$1783.0,0,0.14735543316194102,0,0.3805664287142295,1,0.5376476023976025,0,0.38582668,0.3628490353394355
35,板南3-1K$1965.4,0,0.14735543316194102,0,0.3805664287142295,1,0.5760676823176825,0,0.34732515,0.3628286725980314
39,板21-12$1523.4,0,0.14735543316194102,0,0.3685150394660864,1,0.5811592574092576,0,0.34732515,0.3610887190588894
21,板南G3-3$1966.2,0,0.14735543316194102,0,0.3685150394660864,1,0.5597821688115808,0,0.34732515,0.35574444690947027
25,板南3-4$1924.8,0,0.14735543316194102,0,0.3685150394660864,1,0.5539711122211125,0,0.34732515,0.3542916827618532
24,板南3-4$2059.9,0,0.14735543316194102,0,0.3759756737864604,1,0.5404991185285305,0,0.34732515,0.3527888429188012
97,板南G3-3$1338.6,0,0.14735543316194102,0,0.3685150394660864,1,0.5447267242561363,0,0.34732515,0.3519805857706091
65,板南3-4$951.0,0,0.14735543316194102,0,0.3805664287142295,1,0.5238990519284639,0,0.34732515,0.34978651500072677
36,板南3-1K$1210.2,0,0.14735543316194102,0,0.3759756737864604,1,0.5204751425045544,0,0.34732515,0.34778284891280714
76,板21-7$2098.1,0,0.14735543316194102,0,0.3149949075248781,1,0.5427411754911756,0,0.38582668,0.34772954831549097
116,板21-7$2326.6,0,0.14735543316194102,0,0.3192219702085776,1,0.5340293872793874,0,0.38582668,0.3466083669334688
40,板21-7$2020.4,0,0.14735543316194102,0,0.30400090493463966,1,0.5840044122544125,0,0.34732515,0.34567147413731647
96,板南G3-3$1245.5,0,0.14735543316194102,0,0.36398423613939423,1,0.5202634865134869,0,0.34732515,0.34473207550327367
16,板南4-5$2299.4,0,0.14735543316194102,0,0.3149949075248781,1,0.5284355154649274,0,0.38582668,0.34415313330892894
104,板21-8$2262.3,0,0.14735543316194102,0,0.3149949075248781,1,0.5343956876456879,0,0.34732515,0.3360177936326949
77,板21-8$2287.7,0,0.14735543316194102,0,0.3192219702085776,0,0.4912190309690312,0,0.38582668,0.3359057778558797
1,板南3-13$1923.0,0,0.14735543316194102,0,0.3081468014088497,1,0.5173264578558698,0,0.34732515,0.33003845965623335
41,板21-12$1848.4,0,0.14735543316194102,0,0.30400090493463966,0,0.48456921509862694,0,0.34732515,0.32081267484837006
112,板21-12$1546.0,0,0.14735543316194102,0,0.3081468014088497,0,0.4732228604728607,0,0.34732515,0.31901256031048103
10,板南3-4$1235.3,0,0.14735543316194102,0,0.3081468014088497,0,0.4707421744921747,0,0.34732515,0.3183923888153095
100,板南3-1K$1938.5,0,0.14735543316194102,0,0.3192219702085776,0,0.4554441734735856,0,0.34732515,0.31733668076059424
9,板南3-1K$1606.6,0,0.14735543316194102,0,0.3081468014088497,0,0.4471182983682986,0,0.34732515,0.3124864197843405
